type_index,type_parent_index,type,apartments,inhabited_by_owner,inhabited_by_owner_percentage,rented_out,rented_out_percentage,uninhabited,uninhabited_percentage
0,-1,apartments,1834.55295499999,255.400309,13.9216645834027,1455.92599299999,79.3613500788805,123.226653,6.71698533771684
1,0,until_2018,387.154024999998,43.5152520000001,11.2397777602855,310.260901999998,80.1388806431754,33.377871,8.62134159653904
2,0,between_1919_and_1948,342.006835000002,61.154812,17.8811666146964,252.293079000002,73.7684318501999,28.558944,8.35040153510379
3,0,between_1949_and_1978,805.350293999984,91.6902960000003,11.3851446610389,665.213711999984,82.5993008205193,48.4462860000001,6.01555451844177
4,0,between_1979_and_1990,245.175533000004,26.798037,10.9301432618888,208.217776000004,84.9260011601568,10.15972,4.14385557795436
5,0,between_1991_and_2000,38.516685,17.973626,46.6645195452309,18.79408,48.7946457489786,0.0,0.0
6,0,2001_and_later,16.349583,14.268286,87.2700300674335,0.0,0.0,0.0,0.0
7,0,with_1_apartment,161.729074,130.048615,80.4114014775105,19.103176,11.811837864106,12.577283,7.77676065838354
8,7,until_2018,17.326495,5.901751,34.0620015761988,7.70696899999999,44.4808312356307,0.0,0.0
9,7,between_1919_and_1948,51.597942,43.8183279999999,84.922627340447,0.0,0.0,0.0,0.0
10,7,between_1949_and_1978,41.452423,34.111497,82.2907191697817,0.0,0.0,0.0,0.0
11,7,between_1979_and_1990,21.434339,19.243916,89.7807765380589,0.0,0.0,0.0,0.0
12,7,between_1991_and_2000,15.761626,13.908503,88.2428183488176,0.0,0.0,0.0,0.0
13,7,2001_and_later,14.156249,13.06462,92.288712921057,0.0,0.0,0.0,0.0
14,0,with_2_apartments,33.951964,9.978082,29.3888212181186,20.679599,60.9084028246496,0.0,0.0
15,14,until_2018,14.921241,0.0,0.0,11.210064,75.1282282753828,0.0,0.0
16,14,between_1919_and_1948,9.25315,0.0,0.0,0.0,0.0,0.0,0.0
17,14,between_1949_and_1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,14,between_1979_and_1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,14,between_1991_and_2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,14,2001_and_later,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,with_3_to_6_apartments,295.325725000001,30.678889,10.3881532839714,248.422404000001,84.1181051870778,16.224432,5.49374152895077
22,21,until_2018,55.9805610000001,6.250469,11.1654275847646,46.1014630000001,82.3526277273285,0.0,0.0
23,21,between_1919_and_1948,74.6251440000003,6.019392,8.06617136979993,62.7760390000003,84.1218329843358,5.829713,7.81199564586431
24,21,between_1949_and_1978,121.483214,14.789011,12.1737073897304,101.696068,83.7120328410146,0.0,0.0
25,21,between_1979_and_1990,34.092473,0.0,0.0,32.197151,94.440643833611,0.0,0.0
26,21,between_1991_and_2000,7.7255,0.0,0.0,5.123159,66.3149181282765,0.0,0.0
27,21,2001_and_later,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,with_7_to_12_apartments,1066.78726200001,67.3544760000001,6.31376830219404,933.018196000006,87.4605677471991,66.41459,6.22566395060683
29,28,until_2018,272.643588000001,25.416805,9.32235567557156,225.399629000001,82.6718980092061,21.827154,8.00574631522233
30,28,between_1919_and_1948,185.964388000001,6.630024,3.56521163611172,165.366720000001,88.9238642830907,13.967644,7.51092408079761
31,28,between_1949_and_1978,450.071954000002,29.8935620000001,6.64195174445371,396.485056000002,88.0937042346789,23.693336,5.26434402086735
32,28,between_1979_and_1990,149.107927000002,5.030515,3.37374082063386,137.556696000002,92.2531073750359,6.520716,4.37315180433024
33,28,between_1991_and_2000,8.62031600000001,0.0,0.0,8.08373200000001,93.7753557990218,0.0,0.0
34,28,2001_and_later,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,with_13_or_more_apartments,276.758930000002,17.340247,6.26546973570099,234.702618000001,84.8039909678796,24.716065,8.9305392964194
36,35,until_2018,26.28214,0.0,0.0,19.842777,75.4990917786756,0.0,0.0
37,35,between_1919_and_1948,20.566211,0.0,0.0,14.978407,72.830172752774,0.0,0.0
38,35,between_1949_and_1978,187.448484000002,10.820067,5.77228834776808,161.088164000001,85.9372989114173,15.540253,8.29041274081463
39,35,between_1979_and_1990,37.825948,0.0,0.0,35.596044,94.1048298379726,0.0,0.0
40,35,between_1991_and_2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,35,2001_and_later,0.0,0.0,0.0,0.0,0.0,0.0,0.0
