type_index,type_parent_index,type,apartments,living_area,living_area_per_apartment,persons_per_apartment,living_area_per_person
0,-1,total,1711.32630200005,12253.7526371004,71.6038351235487,1.8271231128428,39.1893871957763
1,0,1_apartment,149.151791,1733.793153,116.243535620702,2.31532122869379,50.2062237326272
2,0,2_apartments,30.6576809999998,271.236368199998,88.4725652276179,1.97273410862354,44.8476887183488
3,0,between_3_and_6_apartments,279.101293000001,1922.85680100001,68.894585916519,1.79666294487572,38.3458600919076
4,0,between_7_and_12_apartments,1000.37267199995,6806.27596059965,68.0374039705873,1.80131229134576,37.7710207705054
5,0,between_13_and_20_apartments,81.1273160000004,552.054499600002,68.0479186073405,1.82748135042456,37.2359031688786
6,0,more_than_21_apartments,170.915549000002,967.535854700012,56.6090013671021,1.57561370264797,35.9282235689912
7,-1,condominiums,255.400309,2711.44270939999,106.164425564575,2.1024377656489,50.4958706978936
8,7,1_apartment,130.048615,1575.2253192,121.125881978828,2.35562645553741,51.4198173034162
9,7,2_apartments,9.97808199999999,114.0787858,114.329372919565,2.08238316742636,54.9031392050992
10,7,between_3_and_6_apartments,30.678889,288.2827365,93.9677888922248,1.78020713201185,52.7847502700597
11,7,between_7_and_12_apartments,67.3544760000002,600.593620100001,89.1690732030934,1.8785492889886,47.4669862141873
12,7,between_13_and_20_apartments,7.829904,68.3964587,87.3528700990459,1.83961093265,47.484426488601
13,7,more_than_21_apartments,9.51034299999999,64.8657890999999,68.2055201373914,1.50274811329097,45.3871939908968
14,-1,rented_apartments,1455.92599300002,9542.30992770017,65.541174301296,1.77882708149438,36.8451633006595
15,14,1_apartment,19.103176,158.5678338,83.0060058076207,2.04093549679907,40.6705679517086
16,14,2_apartments,20.6795989999999,157.1575824,75.9964361011063,1.91982750729354,39.5850334534698
17,14,between_3_and_6_apartments,248.422404000002,1634.57406450001,65.7981743264991,1.7986951531151,36.5810594488708
18,14,between_7_and_12_apartments,933.01819599996,6205.68234049973,66.5119112049986,1.7957365613907,37.0387910092384
19,14,between_13_and_20_apartments,73.2974120000003,483.658040900002,65.985691404766,1.826185623034,36.1330691538017
20,14,more_than_21_apartments,161.405206000002,902.670065600011,55.9257094594582,1.57990710039427,35.3980999550554
