district_name,total,percentage_of_household_net_income_below_15%,percentage_of_household_net_income_between_15_and_25%,percentage_of_household_net_income_between_25_and_35%,percentage_of_household_net_income_between_35_and_45%,percentage_of_household_net_income_above_45%,percentage_of_household_net_income_average
Mitte,145.095436,9.33596629462557,28.7374538782874,28.8300398366768,19.5589225838916,13.5376174065186,30.0064375836053
Friedrichshain-Kreuzberg,118.950803,7.02424093765891,32.3928263014752,28.9055669510697,19.9015663643733,11.7757994454228,29.5258194431861
Pankow,161.946353,11.5709910429412,37.1864743382026,30.3565107143845,14.1244230427344,6.76160086173723,26.5596051675211
Charlottenburg-Wilmersdorf,134.849659,9.1274787724899,28.6413212212869,27.9880559431003,21.2851661716104,12.9579778915125,30.0638211180052
Spandau,90.9378480000002,6.51453507015032,24.9813477002447,31.4726933058719,23.9239529838005,13.1074709399325,30.9671292969238
Steglitz-Zehlendorf,97.5654819999998,8.93506373493857,31.383997057484,28.5239937624662,19.6985353898011,11.4584100553104,29.4831292177698
Tempelhof-Schöneberg,121.499068,10.2567066604988,29.4427237910993,30.323897628581,18.3986020370132,11.5780698828077,28.8375896266134
Neukölln,118.487511,5.93968169354153,26.6622150582605,32.2301824704547,24.6934970218085,10.4744237559349,30.5111156904967
Treptow-Köpenick,99.9851049999999,11.31316609609,33.911916179915,28.8554360171948,18.4373362412332,7.48214546556711,27.3165873156807
Marzahn-Hellersdorf,95.7919909999999,9.06208849965338,35.5910850626333,27.2418515656492,21.2519322205131,6.85304265155111,27.8005329067646
Lichtenberg,125.16988,8.63031505662545,37.7745940157489,31.0029849033969,15.5987966114532,6.99330941277567,27.1444018401232
Reinickendorf,88.054828,5.67905032986948,28.8975409729947,32.2036140937099,20.0089516954141,13.2108429080118,30.5094988999354
